GO:ID;Go term;Number of hits;Expected number of hits;Go level;P-value;Corrected p-value;Aspect
GO:0008152;metabolic process;1;1.892473;2;0.601672231960465;1;BP
GO:0006139;nucleobase-containing compound metabolic process;1;1.419355;5;0.434699548718367;1;BP
GO:0006351;transcription, DNA-templated;1;0.9462366;7;0.23837987548908;1;BP
GO:0006725;cellular aromatic compound metabolic process;1;1.419355;4;0.434699548718367;1;BP
GO:0006807;nitrogen compound metabolic process;1;1.419355;3;0.434699548718367;1;BP
GO:0008150;biological_process;5;2.83871;1;0.0389547607858794;1;BP
GO:0009058;biosynthetic process;1;1.419355;3;0.434699548718367;1;BP
GO:0009059;macromolecule biosynthetic process;1;1.182796;5;0.338643790614569;1;BP
GO:0009987;cellular process;5;2.602151;2;0.0239338812202016;1;BP
GO:0010467;gene expression;1;1.182796;5;0.338643790614569;1;BP
GO:0016070;RNA metabolic process;1;1.182796;6;0.338643790614569;1;BP
GO:0018130;heterocycle biosynthetic process;1;1.182796;5;0.338643790614569;1;BP
GO:0019438;aromatic compound biosynthetic process;1;1.182796;5;0.338643790614569;1;BP
GO:0034641;cellular nitrogen compound metabolic process;1;1.419355;4;0.434699548718367;1;BP
GO:0034654;nucleobase-containing compound biosynthetic process;1;1.182796;6;0.338643790614569;1;BP
GO:0043170;macromolecule metabolic process;1;1.419355;4;0.434699548718367;1;BP
GO:0044237;cellular metabolic process;1;1.655914;3;0.522944179240098;1;BP
GO:0044238;primary metabolic process;1;1.655914;3;0.522944179240098;1;BP
GO:0044249;cellular biosynthetic process;1;1.182796;4;0.338643790614569;1;BP
GO:0044260;cellular macromolecule metabolic process;1;1.419355;5;0.434699548718367;1;BP
GO:0044271;cellular nitrogen compound biosynthetic process;1;1.182796;5;0.338643790614569;1;BP
GO:0046483;heterocycle metabolic process;1;1.419355;4;0.434699548718367;1;BP
GO:0050789;regulation of biological process;1;0.7096774;3;0.140373086414995;1;BP
GO:0050794;regulation of cellular process;1;0.7096774;4;0.140373086414995;1;BP
GO:0065007;biological regulation;1;0.7096774;2;0.140373086414995;1;BP
GO:0007049;cell cycle;1;0.2365591;4;0;0;BP
GO:0051301;cell division;1;0.2365591;4;0;0;BP
GO:0009653;anatomical structure morphogenesis;1;0.2365591;3;0;0;BP
GO:0030154;cell differentiation;1;0.2365591;5;0;0;BP
GO:0032502;developmental process;1;0.2365591;2;0;0;BP
GO:0048869;cellular developmental process;1;0.2365591;4;0;0;BP
GO:0030435;sporulation resulting in formation of a cellular spore;1;0.2365591;6;0;0;BP
GO:0008219;cell death;1;0.2365591;4;0;0;BP
GO:0005575;cellular_component;13;12.10738;1;0.300474707795763;1;CC
GO:0018995;host;3;3.577181;3;0.501349763704134;1;CC
GO:0033643;host cell part;3;3.577181;3;0.501349763704134;1;CC
GO:0043657;host cell;3;3.577181;4;0.501349763704134;1;CC
GO:0044279;other organism membrane;3;3.577181;3;0.501349763704134;1;CC
GO:0033644;host cell membrane;3;3.577181;4;0.501349763704134;1;CC
GO:0016020;membrane;9;7.154362;2;0.141059948596564;1;CC
GO:0031224;intrinsic component of membrane;6;6.328859;3;0.454557992838005;1;CC
GO:0044425;membrane part;6;6.328859;2;0.454557992838005;1;CC
GO:0016021;integral component of membrane;4;6.328859;4;0.810980080145544;1;CC
GO:0005623;cell;4;2.47651;2;0.0681933058237608;1;CC
GO:0044464;cell part;4;2.47651;2;0.0681933058237608;1;CC
GO:0030428;cell septum;1;0.2751678;3;0;0;CC
GO:0005886;plasma membrane;3;1.100671;3;0.00543162163000634;0.1466538;CC
GO:0003674;molecular_function;2;1.481865;1;0.172339638297153;1;MF
GO:0003676;nucleic acid binding;1;0.3367876;4;0.0374383886839145;1;MF
GO:0005488;binding;1;0.7409326;2;0.163100292124468;1;MF
GO:0003677;DNA binding;1;0.2020725;5;0.0121446301169194;0.7408224;MF
GO:0003824;catalytic activity;1;0.6735751;2;0.138707721747512;1;MF
GO:0016740;transferase activity;1;0.3367876;3;0.0374383886839145;1;MF
GO:0016772;transferase activity, transferring phosphorus-containing groups;1;0.2694301;4;0.0233577349703097;1;MF
GO:0016779;nucleotidyltransferase activity;1;0.06735751;5;0;0;MF
GO:0034062;RNA polymerase activity;1;0.06735751;6;0;0;MF
GO:0003899;DNA-directed RNA polymerase activity;1;0.06735751;7;0;0;MF
